"video_id","talent_name","talent_profile","model","confidence","title_raw","content_type","published_at","topic","format","language","is_music","tags","taxonomy_version","prompt_version","created_at","title_hash","talent_id","classification_json","collaborative_energy","community_milestones","interactive_entertainment","meme_viral","monetization","narrative_serialization","performance_artistry","personality_conversation"
"AZQFzFltJrs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"Navi tells me to LISTEN, I did NOT","short",2026-02-16 01:09:59,"gaming","short_form","en",FALSE,"Zelda, Navi, shorts, meme","v3","v3",2026-02-15 16:43:33,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""Zelda"",""Navi"",""shorts"",""meme""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"9bhP6V7jpfQ","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"How I Dodged a SCAMMER Asking for My IG #vtuber #vtuberclips #scambait","short",2026-02-16 01:09:59,"lifestyle","short_form","en",FALSE,"scambait, vtuber_clips, shorts, scammer_story","v3","v3",2026-02-15 16:43:33,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""scambait"",""vtuber_clips"",""shorts"",""scammer_story""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"6Y6njSWs24w","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"The truth about YOUR streamers | Shepherds #vtuber #vtuberclips #shorts","short",2026-02-16 01:09:59,"comedy","short_form","en",FALSE,"Shepherds, vtuber_clips, shorts, streamer_commentary","v3","v3",2026-02-15 16:43:33,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""Shepherds"",""vtuber_clips"",""shorts"",""streamer_commentary""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"5yq9VTcBm3o","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.9,"[Glitchspankr] FINDING LORE IN THIS SMACKING GAME Pt 4","live",2026-02-16 01:09:59,"gaming","live_stream","en",FALSE,"Glitchspankr, lore, part_4, gameplay","v3","v3",2026-02-15 16:43:33,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""Glitchspankr"",""lore"",""part_4"",""gameplay""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"1auJ3fgkihs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.9,"[Sheepherds!] Cozy doggo adventure with @haruzulux !","live",2026-02-16 01:09:59,"gaming","live_stream","en",FALSE,"Sheepherds, collab, guest, cozy","v3","v3",2026-02-15 16:43:33,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""Sheepherds"",""collab"",""guest"",""cozy""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"4xIeTrlzxQE","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.35,"DAY 14 letikobo","short",2026-02-16 01:09:29,"music","short_form","other",TRUE,"advent_day, song, short","v3","v3",2026-02-15 16:43:10,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""other"",""is_music"":true,""tags"":[""advent_day"",""song"",""short""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"1xQOXiSYljY","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.35,"Day 6 skye","short",2026-02-16 01:09:29,"music","short_form","other",TRUE,"advent_day, song, short","v3","v3",2026-02-15 16:43:10,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""other"",""is_music"":true,""tags"":[""advent_day"",""song"",""short""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"0CPJh-jwCXU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.7,"Leia Day 3 Advent calendar","short",2026-02-16 01:09:29,"lifestyle","short_form","en",FALSE,"advent_day, series, Leia","v3","v3",2026-02-15 16:43:10,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""advent_day"",""series"",""Leia""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"02t4eCRctRk","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.6,"Day 5 christmas mem","short",2026-02-16 01:09:29,"music","short_form","en",TRUE,"advent_day, christmas, short","v3","v3",2026-02-15 16:43:10,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""advent_day"",""christmas"",""short""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"-67n4m1gOHU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.8,"Day 11 Minu Hana","short",2026-02-16 01:09:29,"music","short_form","other",TRUE,"advent_day, song, short, series","v3","v3",2026-02-15 16:43:10,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""other"",""is_music"":true,""tags"":[""advent_day"",""song"",""short"",""series""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"5ka4pz3k-xo","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.45,"NOT THE CROWN!!!??","short",2026-02-16 01:09:08,"comedy","short_form","en",FALSE,"reaction, clip, meme","v3","v3",2026-02-15 16:42:46,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""reaction"",""clip"",""meme""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"4iFvJoIV1Mo","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.7,"ESCAPING THE DEPTHS OF NEOCITIES","live",2026-02-16 01:09:08,"gaming","live_stream","en",FALSE,"gameplay, escape","v3","v3",2026-02-15 16:42:46,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""gameplay"",""escape""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"4TsQp6WfWx8","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.95,"Im not a dog person, they frighten me [Rantcast]","live",2026-02-16 01:09:08,"lifestyle","live_stream","en",FALSE,"rant, Rantcast, opinion","v3","v3",2026-02-15 16:42:46,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""lifestyle"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""rant"",""Rantcast"",""opinion""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"44ILtjYDdW0","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.45,"Dog Slander","short",2026-02-16 01:09:08,"comedy","short_form","en",FALSE,"clip, joke","v3","v3",2026-02-15 16:42:46,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""clip"",""joke""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"2I4HztTU76U","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.6,"FISTFULL OF FUN  #vtuber #vtuberclips","short",2026-02-16 01:09:08,"comedy","short_form","en",FALSE,"vtuber, clip, meme","v3","v3",2026-02-15 16:42:46,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""vtuber"",""clip"",""meme""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"B5H8S_BC4A0","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.6,"making out with another vtuber","short",2026-02-16 01:08:43,"comedy","short_form","en",FALSE,"vtuber, collab, kiss","v3","v3",2026-02-15 16:42:27,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""vtuber"",""collab"",""kiss""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"9oAGlmwAJG0","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.9,"NEVER FORGET DL-6<U+3010>PHOENIX WRIGHT: ACE ATTORNEY<U+3011>","live",2026-02-16 01:08:43,"gaming","live_stream","en",FALSE,"phoenix_wright, ace_attorney, DL-6, gameplay","v3","v3",2026-02-15 16:42:27,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""phoenix_wright"",""ace_attorney"",""DL-6"",""gameplay""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"3UA4FIvsRTQ","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.25,"Ghost","short",2026-02-16 01:08:43,"other","short_form","unknown",FALSE,"one_word_title","v3","v3",2026-02-15 16:42:27,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""other"",""format"":""short_form"",""language"":""unknown"",""is_music"":false,""tags"":[""one_word_title""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3U-DJoj-CpY","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.6,"Spark Again - Aimer","short",2026-02-16 01:08:43,"music","short_form","other",TRUE,"song, Aimer","v3","v3",2026-02-15 16:42:27,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""other"",""is_music"":true,""tags"":[""song"",""Aimer""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
