"video_id","talent_name","talent_profile","model","confidence","title_raw","content_type","published_at","topic","format","language","tags","primary_reference","referenced_entities","taxonomy_version","prompt_version","created_at","title_hash","talent_id","classification_json","collaborative_energy","community_milestones","interactive_entertainment","meme_viral","monetization","narrative_serialization","performance_artistry","personality_conversation"
"AZQFzFltJrs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.7,"Navi tells me to LISTEN, I did NOT","short",2026-02-16 01:32:52,"gaming","short_form","en","Zelda, Navi, funny, shorts","The Legend of Zelda: Ocarina of Time","Navi","v5","v5",2026-02-16 01:33:15,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""short_form"",""language"":""en"",""tags"":[""Zelda"",""Navi"",""funny"",""shorts""],""primary_reference"":""The Legend of Zelda: Ocarina of Time"",""referenced_entities"":[""Navi""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"9bhP6V7jpfQ","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.8,"How I Dodged a SCAMMER Asking for My IG #vtuber #vtuberclips #scambait","short",2026-02-16 01:32:52,"lifestyle","short_form","en","scambait, storytime, vtuber_clips","","","v5","v5",2026-02-16 01:33:15,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""tags"":[""scambait"",""storytime"",""vtuber_clips""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"6Y6njSWs24w","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"The truth about YOUR streamers | Shepherds #vtuber #vtuberclips #shorts","short",2026-02-16 01:32:52,"comedy","short_form","en","vtuber_clips, shorts, commentary","","","v5","v5",2026-02-16 01:33:15,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""tags"":[""vtuber_clips"",""shorts"",""commentary""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"5yq9VTcBm3o","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.93,"[Glitchspankr] FINDING LORE IN THIS SMACKING GAME Pt 4","live",2026-02-16 01:32:52,"gaming","live_stream","en","Glitchspankr, lore, part_4, playthrough","Glitchspankr","Glitchspankr","v5","v5",2026-02-16 01:33:15,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""tags"":[""Glitchspankr"",""lore"",""part_4"",""playthrough""],""primary_reference"":""Glitchspankr"",""referenced_entities"":[""Glitchspankr""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"1auJ3fgkihs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.92,"[Sheepherds!] Cozy doggo adventure with @haruzulux !","live",2026-02-16 01:32:52,"gaming","live_stream","en","Sheepherds, collab, guest, co-op","Sheepherds","Sheepherds","v5","v5",2026-02-16 01:33:15,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""tags"":[""Sheepherds"",""collab"",""guest"",""co-op""],""primary_reference"":""Sheepherds"",""referenced_entities"":[""Sheepherds""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"4xIeTrlzxQE","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"DAY 14 letikobo","short",2026-02-16 01:32:22,"music","short_form","en","advent, song_clip","Letikobo","Letikobo","v5","v5",2026-02-16 01:32:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""tags"":[""advent"",""song_clip""],""primary_reference"":""Letikobo"",""referenced_entities"":[""Letikobo""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1xQOXiSYljY","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 6 skye","short",2026-02-16 01:32:22,"music","short_form","en","advent, song_clip","Skye","Skye","v5","v5",2026-02-16 01:32:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""tags"":[""advent"",""song_clip""],""primary_reference"":""Skye"",""referenced_entities"":[""Skye""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"0CPJh-jwCXU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Leia Day 3 Advent calendar","short",2026-02-16 01:32:22,"other","short_form","en","advent, calendar","","","v5","v5",2026-02-16 01:32:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""other"",""format"":""short_form"",""language"":""en"",""tags"":[""advent"",""calendar""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":true,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"02t4eCRctRk","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 5 christmas mem","short",2026-02-16 01:32:22,"music","short_form","en","advent, holiday","Christmas mem","Christmas mem","v5","v5",2026-02-16 01:32:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""tags"":[""advent"",""holiday""],""primary_reference"":""Christmas mem"",""referenced_entities"":[""Christmas mem""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"-67n4m1gOHU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 11 Minu Hana","short",2026-02-16 01:32:22,"music","short_form","en","advent, song_clip","Minu Hana","Minu Hana","v5","v5",2026-02-16 01:32:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""tags"":[""advent"",""song_clip""],""primary_reference"":""Minu Hana"",""referenced_entities"":[""Minu Hana""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
