"video_id","talent_name","talent_profile","model","confidence","title_raw","content_type","published_at","topic","language","tags","primary_reference","referenced_entities","taxonomy_version","prompt_version","created_at","title_hash","talent_id","classification_json","collaborative_energy","community_milestones","interactive_entertainment","meme_viral","monetization","narrative_serialization","performance_artistry","personality_conversation"
"AZQFzFltJrs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.7,"Navi tells me to LISTEN, I did NOT","short",2026-02-16 01:41:52,"gaming","en","Navi, Zelda: Ocarina of Time, shorts","The Legend of Zelda: Ocarina of Time","Navi","v6","v6",2026-02-16 01:42:21,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""Navi"",""Zelda: Ocarina of Time"",""shorts""],""primary_reference"":""The Legend of Zelda: Ocarina of Time"",""referenced_entities"":[""Navi""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9bhP6V7jpfQ","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.8,"How I Dodged a SCAMMER Asking for My IG #vtuber #vtuberclips #scambait","short",2026-02-16 01:41:52,"lifestyle","en","scambait, storytime, social_media, vtuber","","","v6","v6",2026-02-16 01:42:21,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""scambait"",""storytime"",""social_media"",""vtuber""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"6Y6njSWs24w","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.65,"The truth about YOUR streamers | Shepherds #vtuber #vtuberclips #shorts","short",2026-02-16 01:41:52,"gaming","en","commentary, streamer_critique, vtuber, Shepherds","Shepherds","Shepherds","v6","v6",2026-02-16 01:42:21,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""commentary"",""streamer_critique"",""vtuber"",""Shepherds""],""primary_reference"":""Shepherds"",""referenced_entities"":[""Shepherds""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"5yq9VTcBm3o","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.9,"[Glitchspankr] FINDING LORE IN THIS SMACKING GAME Pt 4","live",2026-02-16 01:41:52,"gaming","en","lore, part_4, exploration, smacking_game","Glitchspankr","Glitchspankr","v6","v6",2026-02-16 01:42:21,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""lore"",""part_4"",""exploration"",""smacking_game""],""primary_reference"":""Glitchspankr"",""referenced_entities"":[""Glitchspankr""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"1auJ3fgkihs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.92,"[Sheepherds!] Cozy doggo adventure with @haruzulux !","live",2026-02-16 01:41:52,"gaming","en","collab, guest, cozy, adventure, co-op","Sheepherds!","Sheepherds!","v6","v6",2026-02-16 01:42:21,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""collab"",""guest"",""cozy"",""adventure"",""co-op""],""primary_reference"":""Sheepherds!"",""referenced_entities"":[""Sheepherds!""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"4xIeTrlzxQE","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"DAY 14 letikobo","short",2026-02-16 01:41:27,"music","en","advent_day, letikobo, short","letikobo","letikobo","v6","v6",2026-02-16 01:41:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""language"":""en"",""tags"":[""advent_day"",""letikobo"",""short""],""primary_reference"":""letikobo"",""referenced_entities"":[""letikobo""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1xQOXiSYljY","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 6 skye","short",2026-02-16 01:41:27,"music","en","advent_day, skye, short","skye","skye","v6","v6",2026-02-16 01:41:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""language"":""en"",""tags"":[""advent_day"",""skye"",""short""],""primary_reference"":""skye"",""referenced_entities"":[""skye""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"0CPJh-jwCXU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.7,"Leia Day 3 Advent calendar","short",2026-02-16 01:41:27,"lifestyle","en","advent_day, Leia, holiday","","","v6","v6",2026-02-16 01:41:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""advent_day"",""Leia"",""holiday""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"02t4eCRctRk","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.6,"Day 5 christmas mem","short",2026-02-16 01:41:27,"comedy","en","advent_day, christmas, meme","","","v6","v6",2026-02-16 01:41:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""comedy"",""language"":""en"",""tags"":[""advent_day"",""christmas"",""meme""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"-67n4m1gOHU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 11 Minu Hana","short",2026-02-16 01:41:27,"music","en","advent_day, minu_hana, short","Minu Hana","Minu Hana","v6","v6",2026-02-16 01:41:52,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""language"":""en"",""tags"":[""advent_day"",""minu_hana"",""short""],""primary_reference"":""Minu Hana"",""referenced_entities"":[""Minu Hana""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
