"video_id","talent_name","talent_profile","model","confidence","title_raw","content_type","published_at","topic","language","tags","primary_reference","referenced_entities","taxonomy_version","prompt_version","created_at","title_hash","talent_id","classification_json","collaborative_energy","community_milestones","interactive_entertainment","meme_viral","monetization","narrative_serialization","performance_artistry","personality_conversation"
"NejHSf2vumg","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.95,"【League of Legends】 Gaming with @RoseMizuchi 【Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","collab, with_RoseMizuchi, casual","League of Legends","League of Legends","v6","v6",2026-03-25 22:00:17.018071,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""collab"",""with_RoseMizuchi"",""casual""],""primary_reference"":""League of Legends"",""referenced_entities"":[""League of Legends""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"eMEI_4Bt4zg","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.95,"【League of Legends】 Casual Games! 【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","casual, collab, multiplayer","League of Legends","League of Legends","v6","v6",2026-03-25 22:00:17.0022,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""casual"",""collab"",""multiplayer""],""primary_reference"":""League of Legends"",""referenced_entities"":[""League of Legends""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"n-bdKNIkOuQ","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.92,"【Attorney of the Arcane】 (4) Walking bodies and it's not even october...【Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","playthrough, episode_4, horror","Attorney of the Arcane","Attorney of the Arcane","v6","v6",2026-03-25 22:00:16.982231,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""playthrough"",""episode_4"",""horror""],""primary_reference"":""Attorney of the Arcane"",""referenced_entities"":[""Attorney of the Arcane""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"rKT-H_Fy3zI","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.88,"【Melatonin】 Music Guy Finishes Music Game【Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","music_game, finish, playthrough","Melatonin","Melatonin","v6","v6",2026-03-25 22:00:16.964061,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""music_game"",""finish"",""playthrough""],""primary_reference"":""Melatonin"",""referenced_entities"":[""Melatonin""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"DSIE5f9bOUM","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.9,"【Backpack Hero】 Challenge Runs and Some Other Roguelikes【Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","Backpack Hero, challenge_run, roguelike","Backpack Hero","Backpack Hero","v6","v6",2026-03-25 21:59:44.383104,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""Backpack Hero"",""challenge_run"",""roguelike""],""primary_reference"":""Backpack Hero"",""referenced_entities"":[""Backpack Hero""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"szLz42_g_a8","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.92,"【Music Stream】 Mashup Collab with @DrZhuniExcel  【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"music","en","collab, music_stream, Aviothia, DrZhuniExcel","collab","Aviothia, DrZhuniExcel","v6","v6",2026-03-25 21:59:44.371206,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""music"",""language"":""en"",""tags"":[""collab"",""music_stream"",""Aviothia"",""DrZhuniExcel""],""primary_reference"":""collab"",""referenced_entities"":[""Aviothia"",""DrZhuniExcel""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":false}",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"M98iHs2Uidc","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.9,"【Music Stream】 Going Over Aviothia Music! 【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"music","en","music_stream, Aviothia, song_review","music_stream","Aviothia","v6","v6",2026-03-25 21:59:44.357093,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""music"",""language"":""en"",""tags"":[""music_stream"",""Aviothia"",""song_review""],""primary_reference"":""music_stream"",""referenced_entities"":[""Aviothia""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"J6vFSNW8_zo","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.85,"【Attorney of the Arcane】 Objection! I have no clue what I'm doing!【Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","Attorney of the Arcane, gameplay, live","Attorney of the Arcane","Attorney of the Arcane","v6","v6",2026-03-25 21:59:44.337081,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""Attorney of the Arcane"",""gameplay"",""live""],""primary_reference"":""Attorney of the Arcane"",""referenced_entities"":[""Attorney of the Arcane""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0OO7Jy6Oegg","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.85,"【Debut Stream】 It's time for a show! 【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"music","en","debut, music_stream, Aviothia, live_show","debut","Aviothia","v6","v6",2026-03-25 21:59:44.31895,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""music"",""language"":""en"",""tags"":[""debut"",""music_stream"",""Aviothia"",""live_show""],""primary_reference"":""debut"",""referenced_entities"":[""Aviothia""],""collaborative_energy"":false,""community_milestones"":true,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":false}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"HwarTV8h6Lo","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.9,"【Music Stream】 Working on the Citypop Remix Contest! 【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"music","en","music_stream, citypop, remix_contest, collab","music_stream","Citypop Remix Contest, Aviothia, Rius Isonder","v6","v6",2026-03-25 21:59:07.059093,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""music"",""language"":""en"",""tags"":[""music_stream"",""citypop"",""remix_contest"",""collab""],""primary_reference"":""music_stream"",""referenced_entities"":[""Citypop Remix Contest"",""Aviothia"",""Rius Isonder""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":false}",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3fs4dpy7pqc","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.9,"【Mediocre Music Theory 1】 (VOD reupload) The Very Basics! 【Aviothia | Rius Isonder】","video",2026-03-25 21:15:37.393351,"education","en","music_theory, intro, vod_reupload, aviothia","","","v6","v6",2026-03-25 21:59:07.042855,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""education"",""language"":""en"",""tags"":[""music_theory"",""intro"",""vod_reupload"",""aviothia""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"sWw-jPVWFi4","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.9,"【Backpack Hero】 Inventory Management: The Game 【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","backpack_hero, inventory, collab, aviothia","Backpack Hero","Backpack Hero, Aviothia, Rius Isonder","v6","v6",2026-03-25 21:59:07.030914,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""backpack_hero"",""inventory"",""collab"",""aviothia""],""primary_reference"":""Backpack Hero"",""referenced_entities"":[""Backpack Hero"",""Aviothia"",""Rius Isonder""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0U38C5wng34","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.92,"【Attorney of the Arcane】 (3) Time for our second case!【Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","attorney_of_the_arcane, episode_3, case","Attorney of the Arcane","Attorney of the Arcane","v6","v6",2026-03-25 21:59:07.012965,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""attorney_of_the_arcane"",""episode_3"",""case""],""primary_reference"":""Attorney of the Arcane"",""referenced_entities"":[""Attorney of the Arcane""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Ovxhh3uQJdQ","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.85,"【Melatonin】 (Epilepsy Warning) Music Guy Does Music Game 【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","music_game, melatonin, aviothia, collab, epilepsy_warning","music_game","Melatonin, Aviothia, Rius Isonder","v6","v6",2026-03-25 21:59:06.995415,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""music_game"",""melatonin"",""aviothia"",""collab"",""epilepsy_warning""],""primary_reference"":""music_game"",""referenced_entities"":[""Melatonin"",""Aviothia"",""Rius Isonder""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"L6Z-dPO4SBk","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.85,"【Just Chatting】 Wrapping up Week 1! 【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"lifestyle","en","just_chatting, week_1, co-stream, wrap_up","","","v6","v6",2026-03-25 21:58:30.337999,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""just_chatting"",""week_1"",""co-stream"",""wrap_up""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":true,""community_milestones"":true,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"etl6kJTgD58","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.88,"【Music Stream】 Finishing up the Citypop Song 【Aviothia | Rius Isonder】","live",2026-03-25 21:15:37.393351,"music","en","music_stream, citypop, songwriting, co-stream","music_stream","music_stream, citypop, songwriting, co-stream","v6","v6",2026-03-25 21:58:30.32494,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""music"",""language"":""en"",""tags"":[""music_stream"",""citypop"",""songwriting"",""co-stream""],""primary_reference"":""music_stream"",""referenced_entities"":[""music_stream"",""citypop"",""songwriting"",""co-stream""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":false}",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"XrbI8AA6Vys","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.9,"【Pummel Party】 Epic gamer dub time feat. Odelle, Rose, Zet_Zen, and Kierce【Rius Isonder】","live",2026-03-25 21:15:37.393351,"gaming","en","Pummel Party, multiplayer, collab, party_game","Pummel Party","Pummel Party","v6","v6",2026-03-25 21:58:30.310059,"abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""gaming"",""language"":""en"",""tags"":[""Pummel Party"",""multiplayer"",""collab"",""party_game""],""primary_reference"":""Pummel Party"",""referenced_entities"":[""Pummel Party""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
