"video_id","talent_name","talent_profile","model","confidence","title_raw","content_type","published_at","topic","language","tags","primary_reference","referenced_entities","taxonomy_version","prompt_version","created_at","title_hash","talent_id","classification_json","collaborative_energy","community_milestones","interactive_entertainment","meme_viral","monetization","narrative_serialization","performance_artistry","personality_conversation"
"L6Z-dPO4SBk","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.85,"【Just Chatting】 Wrapping up Week 1! 【Aviothia | Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","just_chatting, week_1, co-stream, wrap_up","","","v6","v6","2026-03-25 21:58:30.337999","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""just_chatting"",""week_1"",""co-stream"",""wrap_up""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":true,""community_milestones"":true,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"9nWJgTITe3A","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.8,"【Work Stream】 I have a lot to do so just going to stream while I work 【Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","work_stream, productivity, stream","","","v6","v6","2026-03-25 21:57:34.053833","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""work_stream"",""productivity"",""stream""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"JHuCMAKJnQ4","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.88,"【Just Chatting】 (VOD Reupload) Tier Listing Random Things 【Aviothia | Rius Isonder】","video","2026-03-25 21:15:37.393351","lifestyle","en","just_chatting, vod_reupload, tier_listing, Aviothia","","","v6","v6","2026-03-25 21:57:34.040797","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""just_chatting"",""vod_reupload"",""tier_listing"",""Aviothia""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"PhSP96pKrEE","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.8,"【Work Stream】 After-Chat Night Dancer and work stream【Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","work_stream, after_chat, productive_stream, night_dancer","","","v6","v6","2026-03-25 21:56:09.11372","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""work_stream"",""after_chat"",""productive_stream"",""night_dancer""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sGd9hoDUPdc","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.88,"【Work Stream】 something's coming soon 【Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","work_stream, teaser, announcement","","","v6","v6","2026-03-25 21:53:52.67342","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""work_stream"",""teaser"",""announcement""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"hIcdCGNYb9s","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.9,"【Work Stream】 it's sunday so we chat and work 【Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","work_stream, chat, sunday","","","v6","v6","2026-03-25 21:53:52.600013","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""work_stream"",""chat"",""sunday""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"PQdLKGr_U7Y","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.84,"【Work Stream】 it's sunday so we chat and work 【Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","work_stream, chat, Rius_Isonder","","","v6","v6","2026-03-25 21:53:22.82052","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""work_stream"",""chat"",""Rius_Isonder""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"a16_eIWo5WE","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.78,"【Work Stream】 New Year Rius【Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","work_stream, new_year, study_with_me","","","v6","v6","2026-03-25 21:52:34.924273","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""work_stream"",""new_year"",""study_with_me""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":true,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ua95mxN0qeo","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.9,"【Marshmallow】 500 Sub QnA With X2 Buldak Noodles【Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","qna, 500_subs, marshmallow, eating_challenge","","","v6","v6","2026-03-25 21:51:40.37175","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""qna"",""500_subs"",""marshmallow"",""eating_challenge""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":true,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"OKOkW7Bj1uk","Rius_Isonder_Ch","rius_isonder_ch","gpt-5-mini",0.78,"【Short Work Stream】 What the heck happened this week 【Rius Isonder】","live","2026-03-25 21:15:37.393351","lifestyle","en","weekly_update, short_stream, work_stream","","","v6","v6","2026-03-25 21:51:15.882174","abcd441ffe6c58a6","0005_rius_isonder_ch","{""topic"":""lifestyle"",""language"":""en"",""tags"":[""weekly_update"",""short_stream"",""work_stream""],""primary_reference"":"""",""referenced_entities"":[],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
